probe_id,query,entrezgene,name,symbol,alias,taxid,HGNC,gene,gene_unique
208950_s_at,ALDH7A1,501,aldehyde dehydrogenase 7 family member A1,ALDH7A1,"ATQ1, EPD, PDE",9606,HGNC:877,ALDH7A1,ALDH7A1
200966_x_at,ALDOA,226,"aldolase, fructose-bisphosphate A",ALDOA,"ALDA, GSD12, HEL-S-87p",9606,HGNC:414,ALDOA,ALDOA
202022_at,ALDOC,230,"aldolase, fructose-bisphosphate C",ALDOC,ALDC,9606,HGNC:418,ALDOC,ALDOC
214221_at,ALMS1,7840,ALMS1 centrosome and basal body associated protein,ALMS1,ALSS,9606,HGNC:428,ALMS1,ALMS1
219082_at,AMDHD2,51005,amidohydrolase domain containing 2,AMDHD2,CGI-14,9606,HGNC:24262,AMDHD2,AMDHD2
218093_s_at,ANKRD10,55608,ankyrin repeat domain 10,ANKRD10,,9606,HGNC:20265,ANKRD10,ANKRD10
219069_at,ANKRD49,54851,ankyrin repeat domain 49,ANKRD49,"FGIF, GBIF",9606,HGNC:25970,ANKRD49,ANKRD49
218910_at,ANO10,55129,anoctamin 10,ANO10,"SCAR10, TMEM16K",9606,HGNC:25519,ANO10,ANO10
209860_s_at,ANXA7,310,annexin A7,ANXA7,"ANX7, SNX, SYNEXIN",9606,HGNC:545,ANXA7,ANXA7
213419_at,APBB2,323,amyloid beta precursor protein binding family B member 2,APBB2,"FE65L, FE65L1",9606,HGNC:582,APBB2,APBB2
203381_s_at,APOE,348,apolipoprotein E,APOE,"AD2, APO-E, ApoE4, LDLCQ5, LPG",9606,HGNC:613,APOE,APOE
200602_at,APP,351,amyloid beta precursor protein,APP,"AAA, ABETA, ABPP, AD1, APPI",9606,HGNC:620,APP,APP
202630_at,APPBP2,10513,amyloid beta precursor protein binding protein 2,APPBP2,"APP-BP2, HS.84084, PAT1",9606,HGNC:622,APPBP2,APPBP2
202128_at,KIAA0317,9870,apoptosis resistant E3 ubiquitin protein ligase 1,AREL1,"FIEL1, KIAA0317",9606,HGNC:20363,KIAA0317,KIAA0317
202109_at,ARFIP2,23647,ADP ribosylation factor interacting protein 2,ARFIP2,POR1,9606,HGNC:17160,ARFIP2,ARFIP2
202117_at,ARHGAP1,392,Rho GTPase activating protein 1,ARHGAP1,"CDC42GAP, RHOGAP, RHOGAP1, p50rhoGAP",9606,HGNC:673,ARHGAP1,ARHGAP1
201334_s_at,ARHGEF12,23365,Rho guanine nucleotide exchange factor 12,ARHGEF12,"LARG, PRO2792",9606,HGNC:14193,ARHGEF12,ARHGEF12
209435_s_at,ARHGEF2,9181,Rho/Rac guanine nucleotide exchange factor 2,ARHGEF2,"GEF, GEF-H1, GEFH1, LFP40, Lfc",9606,HGNC:682,ARHGEF2,ARHGEF2
204765_at,ARHGEF5,7984,Rho guanine nucleotide exchange factor 5,ARHGEF5,"GEF5, P60, TIM, TIM1",9606,HGNC:13209,ARHGEF5,ARHGEF5
221230_s_at,ARID4B,51742,AT-rich interaction domain 4B,ARID4B,"BCAA, BRCAA1, RBBP1L1, RBP1L1, SAP180",9606,HGNC:15550,ARID4B,ARID4B
212614_at,ARID5B,84159,AT-rich interaction domain 5B,ARID5B,"DESRT, MRF-2, MRF2",9606,HGNC:17362,ARID5B,ARID5B
202208_s_at,ARL4C,10123,ADP ribosylation factor like GTPase 4C,ARL4C,"ARL7, LAK",9606,HGNC:698,ARL4C,ARL4C
202986_at,ARNT2,9915,aryl hydrocarbon receptor nuclear translocator 2,ARNT2,"WEDAS, bHLHe1",9606,HGNC:16876,ARNT2,ARNT2
221482_s_at,ARPP-19,10776,cAMP regulated phosphoprotein 19,ARPP19,"ARPP-16, ARPP-19, ARPP16, ENSAL",9606,HGNC:16967,ARPP-19,ARPP-19
213702_x_at,ASAH1,427,N-acylsphingosine amidohydrolase 1,ASAH1,"AC, ACDase, ASAH, PHP, PHP32",9606,HGNC:735,ASAH1,ASAH1
206414_s_at,ASAP2,8853,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",ASAP2,"AMAP2, CENTB3, DDEF2, PAG3, PAP",9606,HGNC:2721,ASAP2,ASAP2
212815_at,ASCC3,10973,activating signal cointegrator 1 complex subunit 3,ASCC3,"ASC1p200, HELIC1, RNAH",9606,HGNC:18697,ASCC3,ASCC3
204608_at,ASL,435,argininosuccinate lyase,ASL,ASAL,9606,HGNC:746,ASL,ASL
209394_at,ASMTL,8623,acetylserotonin O-methyltransferase like,ASMTL,"ASMTLX, ASMTLY, ASTML",9606,HGNC:751,ASMTL,ASMTL
222103_at,ATF1,466,activating transcription factor 1,ATF1,"EWS-ATF1, FUS/ATF-1, TREB36",9606,HGNC:783,ATF1,ATF1
204999_s_at,ATF5,22809,activating transcription factor 5,ATF5,"ATFX, HMFN0395",9606,HGNC:790,ATF5,ATF5
203952_at,ATF6,22926,activating transcription factor 6,ATF6,"ACHM7, ATF6A",9606,HGNC:791,ATF6,ATF6
221492_s_at,ATG3,64422,autophagy related 3,ATG3,"APG3, APG3-LIKE, APG3L, PC3-96",9606,HGNC:20962,ATG3,ATG3
201855_s_at,ATMIN,23300,ATM interactor,ATMIN,"ASCIZ, ZNF822",9606,HGNC:29034,ATMIN,ATMIN
212536_at,ATP11B,23200,ATPase phospholipid transporting 11B (putative),ATP11B,"ATPIF, ATPIR",9606,HGNC:13553,ATP11B,ATP11B
201243_s_at,ATP1B1,481,ATPase Na+/K+ transporting subunit beta 1,ATP1B1,ATP1B,9606,HGNC:804,ATP1B1,ATP1B1
212255_s_at,ATP2C1,27032,ATPase secretory pathway Ca2+ transporting 1,ATP2C1,"ATP2C1A, BCPM, HHD, PMR1, SPCA1",9606,HGNC:13211,ATP2C1,ATP2C1
200078_s_at,ATP6V0B,533,ATPase H+ transporting V0 subunit b,ATP6V0B,"ATP6F, HATPL, VMA16",9606,HGNC:861,ATP6V0B,ATP6V0B
208898_at,ATP6V1D,51382,ATPase H+ transporting V1 subunit D,ATP6V1D,"ATP6M, VATD, VMA8",9606,HGNC:13527,ATP6V1D,ATP6V1D
204092_s_at,AURKA,6790,aurora kinase A,AURKA,"AIK, ARK1, AURA, BTAK, PPP1R47",9606,HGNC:11393,AURKA,AURKA
209464_at,AURKB,9212,aurora kinase B,AURKB,"AIK2, AIM-1, AIM1, ARK-2, ARK2",9606,HGNC:11390,AURKB,AURKB
212849_at,AXIN1,8312,axin 1,AXIN1,"AXIN, PPP1R49",9606,HGNC:903,AXIN1,AXIN1
203188_at,B3GNT1,10678,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",B3GNT2,"3-Gn-T1, 3-Gn-T2, B3GN-T2, B3GNT, B3GNT-2",9606,HGNC:15629,B3GNT1,B3GNT1
217867_x_at,BACE2,25825,beta-secretase 2,BACE2,"AEPLC, ALP56, ASP1, ASP21, BAE2",9606,HGNC:934,BACE2,BACE2
209364_at,BAD,572,BCL2 associated agonist of cell death,BAD,"BBC2, BCL2L8",9606,HGNC:936,BAD,BAD
217911_s_at,BAG3,9531,BAG cochaperone 3,BAG3,"BAG-3, BIS, CAIR-1, MFM6",9606,HGNC:939,BAG3,BAG3
203304_at,BAMBI,25805,BMP and activin membrane bound inhibitor,BAMBI,NMA,9606,HGNC:30251,BAMBI,BAMBI
208478_s_at,BAX,581,"BCL2 associated X, apoptosis regulator",BAX,BCL2L4,9606,HGNC:959,BAX,BAX
208445_s_at,BAZ1B,9031,bromodomain adjacent to zinc finger domain 1B,BAZ1B,"WBSCR10, WBSCR9, WSTF",9606,HGNC:961,BAZ1B,BAZ1B
203080_s_at,BAZ2B,29994,bromodomain adjacent to zinc finger domain 2B,BAZ2B,WALp4,9606,HGNC:963,BAZ2B,BAZ2B
202331_at,BCKDHA,593,branched chain keto acid dehydrogenase E1 subunit alpha,BCKDHA,"BCKDE1A, MSU, MSUD1, OVD1A",9606,HGNC:986,BCKDHA,BCKDHA
203685_at,BCL2,596,BCL2 apoptosis regulator,BCL2,"Bcl-2, PPP1R50",9606,HGNC:990,BCL2,BCL2
202518_at,BCL7B,9275,BAF chromatin remodeling complex subunit BCL7B,BCL7B,SMARCJ2,9606,HGNC:1005,BCL7B,BCL7B
211715_s_at,BDH1,622,3-hydroxybutyrate dehydrogenase 1,BDH1,"BDH, SDR9C1",9606,HGNC:1027,BDH1,BDH1
